Keyword,Monthly searches,Number of listings,Searches:listings
wall art,362300,3700000,0.09791891892
stickers,228500,3900000,0.05858974359
necklace,131100,4200000,0.03121428571
quilted jacket,119000,30100,3.953488372
keychain,116600,1300000,0.08969230769
2026 calendar,112300,126900,0.8849487786
journal,112000,1800000,0.06222222222
phone case,97800,666100,0.1468248011
bookmark,95200,380500,0.2501971091
poster,93400,4600000,0.02030434783
dog collar,91000,302400,0.3009259259
bracelet,89900,2500000,0.03596
candles,88300,1100000,0.08027272727
metal wall art,81000,445500,0.1818181818
mug,79500,2500000,0.0318
varsity jacket,78300,20900,3.746411483
tote bag,78000,816600,0.09551800147
shirt,76000,9400000,0.008085106383
fabric,74400,4300000,0.01730232558
wallet,72200,272500,0.2649541284
rug,70200,1400000,0.05014285714
coasters,64300,500800,0.1283945687
dog tag,64000,221300,0.2892001808
curtains,60700,192400,0.3154885655
patches,56500,961800,0.05874402163
sweatshirt,56300,4200000,0.0134047619
baby blanket,55700,401600,0.1386952191
calendar,54000,679600,0.079458505
christmas card,46200,1500000,0.0308
cutting board,45600,175100,0.2604226156
makeup bag,45200,229200,0.1972076789
tapestry,45000,532100,0.08457056944
hoodie,44600,2100000,0.02123809524
apple watch band,44200,60200,0.7342192691
blanket,43600,1000000,0.0436
ceramic travel mug,41200,306700,0.1343332246
wedding signs,40200,556000,0.07230215827
purse,40200,3100000,0.01296774194
wall clock,39400,114000,0.3456140351
baby clothes,38100,420200,0.090671109
desk mat,37900,145200,0.2610192837
bible cover,37700,75400,0.5
shower curtain,36200,71900,0.5034770515
socks,36200,261900,0.1382206949
notebook,34000,646000,0.05263157895
bikini,33700,100800,0.3343253968
custom pillow,33600,190500,0.1763779528
birthday card,33000,1500000,0.022
charcuterie board,32800,95000,0.3452631579
table runner,32600,155600,0.2095115681
license plate frame,32300,67700,0.4771048744
passport cover,31300,22500,1.391111111
luggage tag,30700,80600,0.3808933002
iron on patches,30300,312600,0.09692898273
puzzle,29800,730300,0.04080514857
playing cards,29000,670900,0.04322551796
throw pillows,28800,692400,0.04159445407
sticker sheet,28300,371900,0.07609572466
tumbler,27600,1700000,0.01623529412
magnets,27400,542100,0.05054418004
beanie,26900,326800,0.08231334149
wrapping paper,26900,425400,0.06323460273
cardigan,25600,158000,0.1620253165
tree skirt,25500,23500,1.085106383
bag,25200,3600000,0.007
romantic napkins,24200,71,340.8450704
shoes,24000,639800,0.03751172241
mouse pad,23900,162900,0.1467157766
backpack,23800,233800,0.1017964072
vinyl stickers,23400,1400000,0.01671428571
compact mirror,23100,35500,0.6507042254
mask,21700,377600,0.05746822034
dog bandana,21300,114500,0.1860262009
wine glasses,21300,186200,0.1143931257
kimono,21100,150300,0.1403858949
airpod case,20600,26900,0.7657992565
card holder,19700,335700,0.05868334823
placemats,19600,157900,0.1241291957
hat,19600,2700000,0.007259259259
santa hat,18700,265100,0.07053941909
keyring,18500,333600,0.05545563549
steering wheel cover,18400,15300,1.202614379
business cards,17500,234300,0.07469056765
pencil case,17100,63800,0.2680250784
phone grip,16400,20800,0.7884615385
desk calendar,16400,46000,0.3565217391
birthday banner,16100,402500,0.04
dog bed,15200,30600,0.4967320261
tablecloth,15100,177400,0.08511837655
car coasters,15000,109100,0.1374885426
cotton fabric,14200,1600000,0.008875
pickleball gifts,13700,59100,0.2318104907
diaper bag,13600,42000,0.3238095238
dad hat,12900,228700,0.05640577175
cat bed,12800,25400,0.5039370079
book cover,12700,303500,0.04184514003
shot glasses,12500,50100,0.249500998
woven blanket,12500,141700,0.08821453776
wall decals,12300,1300000,0.009461538462
travel jewelry case,12200,79100,0.1542351454
anniversary card,12200,317200,0.03846153846
travel mug,11900,1500000,0.007933333333
duvet cover,11800,44600,0.264573991
thong,11500,46500,0.247311828
trucker hat,11500,486600,0.02363337443
car air freshener,11300,74100,0.1524966262
canvas tote bag,11200,393000,0.02849872774
bottle opener,11000,61100,0.1800327332
skirt,10900,423300,0.02575005906
bath mat,10500,86900,0.1208285386
greeting card,10300,885200,0.01163578852
area rug,10300,933400,0.01103492608
cap,10000,871400,0.01147578609
kitchen towels,9900,293000,0.0337883959
car seat covers,9800,30900,0.3171521036
license plate,9700,115800,0.08376511226
postcards,9600,317500,0.03023622047
tattoo,9500,316800,0.02998737374
travel jewelry case,9400,70100,0.1340941512
custom flag,9400,314800,0.02986022872
shoulder bag,9400,559000,0.0168157424
phone stand,9200,39000,0.2358974359
lunch bag,9000,37000,0.2432432432
plush keychain,9000,56900,0.158172232
sling bag,8700,37800,0.2301587302
hockey gifts,8700,111800,0.07781753131
body pillow,8500,15500,0.5483870968
round rug,8500,76900,0.1105331599
notepad,8500,140800,0.06036931818
napkins,8500,209500,0.04057279236
custom pajama pants,8300,40100,0.2069825436
tea towels,8200,240600,0.03408146301
dog bowls,7900,14800,0.5337837838
cosmetic bag,7800,238100,0.03275934481
leggings,7700,89000,0.08651685393
car magnet,7600,83500,0.09101796407
engraved cutting board,7500,76400,0.09816753927
gift bags,7500,2600000,0.002884615385
temporary tattoos,7400,47000,0.1574468085
banner,7300,1000000,0.0073
passport wallet,7100,22600,0.314159292
acrylic sign,7100,208800,0.03400383142
embroidered patch,7100,356900,0.0198935276
oven mitts,6900,33100,0.2084592145
fanny pack,6900,68200,0.1011730205
face mask,6900,132900,0.05191873589
baby tee,6900,623300,0.0110701107
quilt jacket,6600,263600,0.02503793627
baseball cap,6600,465300,0.01418439716
golf towel,6500,47600,0.1365546218
lumbar pillow,6500,159000,0.04088050314
graduation stole,6300,19000,0.3315789474
bucket hat,6300,69600,0.09051724138
duffle bag,6300,102600,0.06140350877
serving tray,6300,272600,0.02311078503
pullover,6300,1600000,0.0039375
yoga mat,5800,29000,0.2
holiday cards,5800,1500000,0.003866666667
laundry basket,5700,14600,0.3904109589
personalized golf balls,5700,17500,0.3257142857
latte mug,5700,35800,0.1592178771
sneakers,5500,128500,0.04280155642
transparent swimsuit,5300,1500,3.533333333
personalised pyjamas,5300,15600,0.3397435897
comforter,5300,602400,0.00879814077
champagne glasses,5200,41900,0.1241050119
bomber jacket,5200,100300,0.0518444666
pajama pants,5100,56500,0.09026548673
gym bag,5100,57300,0.0890052356
dog leash,5100,206600,0.02468538238
crop top,5100,231000,0.02207792208
swimsuit,5000,106900,0.04677268475
jersey,5000,471700,0.0105999576
jigsaw puzzle,4800,104700,0.04584527221
storage box,4800,392200,0.01223865375
travel bag,4800,618000,0.007766990291
sweatpants,4700,23900,0.1966527197
glass cup,4700,449400,0.01045838896
custom face boxers,4500,4000,1.125
shorts,4500,155800,0.02888318357
hawaiian shirt,4400,81100,0.0542540074
quarter zip,4200,21400,0.1962616822
zipper pouch,4100,172600,0.02375434531
puffer jacket,4000,20700,0.193236715
balloons,4000,345700,0.01157072606
weekender bag,3900,43500,0.08965517241
sandals,3800,67400,0.05637982196
pillow case,3800,490900,0.00774088409
airpod max case,3600,5600,0.6428571429
cat bowl,3500,19800,0.1767676768
fleece,3500,486400,0.007195723684
car mats,3400,30400,0.1118421053
pennant,3400,56900,0.05975395431
denim jacket,3400,83000,0.04096385542
tie dye shirt,3400,83800,0.04057279236
glass cutting board,3400,156700,0.02169751117
tank top,3400,288900,0.01176877812
bento box,3300,6200,0.5322580645
dog hoodie,3300,154600,0.0213454075
bar necklace,3200,132300,0.02418745276
clutch bag,3200,144500,0.02214532872
heart bracelet,3200,215100,0.01487680149
beer mug,3200,627800,0.005097164702
gift wrap,3100,1100000,0.002818181818
long sleeve shirt,3100,1400000,0.002214285714
wedding banner,3000,123000,0.0243902439
micro bathing suits,2900,3000,0.9666666667
lunchbox,2900,27500,0.1054545455
baby beanie,2900,112700,0.02573203194
watch band,2900,129900,0.02232486528
enamel mug,2800,37000,0.07567567568
drawstring bag,2800,58900,0.04753820034
ice bucket,2700,16400,0.1646341463
glass mug,2700,202400,0.01333992095
suitcase,2600,63000,0.04126984127
pajama,2600,237800,0.01093355761
bed sheets,2600,289500,0.008981001727
floor pillow,2500,57400,0.04355400697
fleece blanket,2500,169200,0.01477541371
wooden decor,2500,1600000,0.0015625
kids backpack,2400,76900,0.03120936281
baby bodysuit,2400,361900,0.006631666206
speaker,2300,19400,0.118556701
wine bag,2300,47500,0.04842105263
letterman jacket,2200,12400,0.1774193548
grocery bag holder,2100,16100,0.1304347826
car floor mats,2100,21400,0.09813084112
luggage cover,2100,26600,0.07894736842
wireless charger,2000,7100,0.2816901408
phone wallet,2000,39500,0.05063291139
baseball jersey,2000,67000,0.02985074627
hooded blanket,1900,11300,0.1681415929
golf hat,1900,21800,0.0871559633
fleece jacket,1900,76900,0.02470741222
wine tumbler,1900,88300,0.02151755379
baseball shirt,1900,275900,0.006886553099
service dog vests,1800,4600,0.3913043478
picnic blanket,1800,28500,0.06315789474
hooded blanket,1600,11500,0.1391304348
laundry bag,1600,11600,0.1379310345
coverlet,1600,19200,0.08333333333
yard sign,1600,266700,0.005999250094
bluetooth speaker,1500,7000,0.2142857143
vanity plate,1500,24900,0.06024096386
polo shirt,1500,54500,0.02752293578
sundress,1500,61000,0.02459016393
tie dye sweatshirt,1400,19300,0.0725388601
pet bed,1400,44900,0.03118040089
grocery bag,1400,249400,0.005613472334
protein shaker,1300,1100,1.181818182
satin pajamas,1300,30300,0.04290429043
can cooler,1300,51800,0.0250965251
dog vest,1200,11500,0.1043478261
pet bowls,1200,13900,0.08633093525
bathing suit,1200,82100,0.01461632156
sun hat,1200,100900,0.01189296333
kids shirt,1200,2700000,0.0004444444444
crib sheets,1100,18700,0.05882352941
joggers,1100,52300,0.02103250478
pom pom hat,1100,60000,0.01833333333
zip hoodie,1100,74400,0.01478494624
sun dress,1000,20900,0.04784688995
