keyword,searches,results,searches:results
fathers day gift,792900,752800,1.0532678
mothers day gift,263200,1500000,0.1754666667
shirt,124600,6500000,0.01916923077
personalized gift,83400,3500000,0.02382857143
personalized gift,83400,3500000,0.02382857143
personalized gift,83400,3500000,0.02382857143
personalized jewelry,61700,525000,0.1175238095
gift for him,59900,976700,0.06132896488
gift for him,59900,976700,0.06132896488
gift for him,59900,976700,0.06132896488
gift for him,59900,976700,0.06132896488
gift for him,59900,976700,0.06132896488
gift for her,48800,2400000,0.02033333333
gift for her,48800,2400000,0.02033333333
gift for her,48800,2400000,0.02033333333
gift for her,48800,2400000,0.02033333333
gift for her,48800,2400000,0.02033333333
anniversary gift,47100,3200000,0.01471875
anniversary gift,47100,3200000,0.01471875
summer shirt,41400,761400,0.05437352246
summer shirt,41400,761400,0.05437352246
summer shirt,41400,761400,0.05437352246
summer shirt,41400,761400,0.05437352246
summer shirt,41400,761400,0.05437352246
t shirt,38900,5500000,0.007072727273
personalized gifts,31400,8000000,0.003925
personalized home decor,28400,491000,0.05784114053
new dad gift,26500,141000,0.1879432624
t-shirt,23100,4900000,0.004714285714
funny shirt,23000,2800000,0.008214285714
custom shirt,22100,2300000,0.009608695652
graphic tees,20400,4300000,0.004744186047
graphic tees,20400,4300000,0.004744186047
personalized clothing,20200,227800,0.08867427568
personalized clothing,20200,227800,0.08867427568
custom keychain,20100,442800,0.04539295393
graphic tee,19100,4200000,0.004547619048
graphic tee,19100,4200000,0.004547619048
graphic tee,19100,4200000,0.004547619048
graphic tee,19100,4200000,0.004547619048
graphic tee,19100,4200000,0.004547619048
graphic tee,19100,4200000,0.004547619048
graphic tee,19100,4200000,0.004547619048
graphic tee,19100,4200000,0.004547619048
hoodie,18000,1500000,0.012
book lover gift,18000,647800,0.02778635381
custom hat,18000,646900,0.02782501159
hoodie,18000,1500000,0.012
hoodie,18000,1500000,0.012
comfort colors,17400,1900000,0.009157894737
new mom gift,16200,333400,0.04859028194
new mom gift,16200,333400,0.04859028194
sweatshirt,16100,2900000,0.005551724138
sweatshirt,16100,2900000,0.005551724138
personalized tees,15800,74200,0.2129380054
vintage clothing,15500,2700000,0.005740740741
embroidered sweatshirt,15000,429700,0.0349080754
embroidered sweatshirt,15000,429700,0.0349080754
embroidered sweatshirt,15000,429700,0.0349080754
rave outfit,14800,43700,0.3386727689
bachelorette shirts,14000,230700,0.06068487213
custom tote bag,13800,217200,0.0635359116
beach towel,13200,145700,0.09059711736
crop top,12100,184800,0.06547619048
crop top,12100,184800,0.06547619048
crop top,12100,184800,0.06547619048
baby tee,11900,556400,0.02138749101
baby tee,11900,556400,0.02138749101
personalized teacher gift,11600,268400,0.04321907601
embroidered shirt,11300,506500,0.02230997038
embroidered shirt,11300,506500,0.02230997038
embroidered shirt,11300,506500,0.02230997038
embroidered shirt,11300,506500,0.02230997038
embroidered shirt,11300,506500,0.02230997038
custom shirts,10500,2700000,0.003888888889
tank top,10100,379800,0.02659294365
tank top,10100,379800,0.02659294365
tank top,10100,379800,0.02659294365
custom sticker,9600,1100000,0.008727272727
custom t shirt,9500,1600000,0.0059375
custom wall art,9400,783400,0.01199897881
personalized mug,9000,617400,0.01457725948
baby onesie,8700,349700,0.02487846726
baby onesie,8700,349700,0.02487846726
baby onesie,8700,349700,0.02487846726
cat shirt,8400,307000,0.02736156352
custom sweatshirt,8300,872700,0.009510713876
custom sweatshirt,8300,872700,0.009510713876
custom sweatshirt,8300,872700,0.009510713876
